Recipe ID,Recipe Name,All Ingredients,All Ingredients,Instructions,Key Ingredients,Servings,Practical Serving,Carbs,Protein,Fat,Fiber,Energy,Maximum Quantity,Cal/serving,Calculation,Easy to order?,Easy to carry?,Easy to cook?,Time to cook?,Flavour,Category,Macro Category,Base,Theme,Can be given in,Heavy Light,Diet Pref,Allergen,Can't be given in,"Country
Availability","Dish
Nationality",Tier,Cuisine,"Seasonality
(Availability)",Temperature,Commonality,Excite Level,,,Quantity per serving (in gms),Is Measured in?,Weight of measured amount,Carbs/100gm,Protein/100gm,Fat/100gm,Fiber/100gm,Energy/100gm
00a3b28b-e5b2-49bc-addb-cb4e6e5640c3,Tomato Soup,"{""1 onion (chopped)"",""5 tomatoes (blended into paste with 1/2 cup water)"",""1/2 tsp ginger garlic paste"",""Water (as required)"",""Juice of 1/2 lemon"",""Salt (to taste)"",""1/4 tsp oregano"",""1/4 tsp black pepper"",""1 tsp olive oil""}","1 onion (chopped)
5 tomatoes (blended into paste with 1/2 cup water)
1/2 tsp ginger garlic paste
Water (as required)
Juice of 1/2 lemon
Salt (to taste)
1/4 tsp oregano
1/4 tsp black pepper
1 tsp olive oil",,"Tomato - 5
Onion - 1
Olive Oil - 1'tsp

",2.5,1 medium bowl (200 ml),33.74,7.19,6.38,14.56,220.49,2.00,88.2,"tomato → 5 × 123g = 615g | tomato → Carbs: 23.99, Protein: 5.54, Fat: 1.23, Fiber: 10.89, Energy: 128.54 | onion → 1 × 150g = 150g | onion → Carbs: 9.75, Protein: 1.65, Fat: 0.15, Fiber: 3.68, Energy: 46.95 | olive oil → 1'tsp = 5g | olive oil → Carbs: 0, Protein: 0, Fat: 5, Fiber: 0, Energy: 45",,1,Medium,Medium,,Light Soup,Soup/Dal,Tomato,,,,Vegan,"Gluten free, Lactose free, Nuts Free, Mushroom free",,Both,,Both,General,Winter,,0,,"Tomato
Onion
Olive Oil","5
1
1'tsp",,Medium Bowl,200ml,6.748,1.438,1.276,2.912,44.098
0147a6e1-9479-4da4-a6dc-c66662734ef5,Namkeen Mathri,"{""1 cup Whole Wheat Flour"",""2 tbsp Roasted Cumin Powder"",""2 tbsp Carom Seeds (Ajwain)"",""1-2 tbsp Kasuri Methi"",""A pinch of Baking Soda"",""2-3 tbsp Desi Ghee"",""Salt - As Per Taste""}","1 cup Whole Wheat Flour
2 tbsp Roasted Cumin Powder
2 tbsp Carom Seeds (Ajwain)
1-2 tbsp Kasuri Methi
A pinch of Baking Soda
2-3 tbsp Desi Ghee
Salt - As Per Taste",,"Whole wheat flour - 120'g
Ghee - 2.5'tbsp
",4.5,2,86.4,15.84,40.5,13.63,773.34,3.00,171.9,"whole wheat flour → direct: 120g | whole wheat flour → Carbs: 86.4, Protein: 15.84, Fat: 3, Fiber: 13.63, Energy: 435.84 | ghee → 2.5'tbsp = 37.5g | ghee → Carbs: 0, Protein: 0, Fat: 37.5, Fiber: 0, Energy: 337.5",,,,,,Snack,,,,,,,,,,,,,,,,,"Whole wheat flour
Ghee","120'g
2.5'tbsp",,Numbers,30gm,64.00,11.73,30.00,10.10,572.84
01774dd4-25fb-49a6-ac1d-466f5e96c141,Herbal Belly Tea,"{""Chamomile Tea leaves- 1 pinch"",""Mint Leaf - 4-5 leaves"",""Fennel Seeds - 1 tsp"",""Fresh Ginger - 1/2 tsp grated"",""Coriander seeds - 1/2 tsp"",""Water - 300 ml RO purified""}","Chamomile Tea leaves- 1 pinch
Mint Leaf - 4-5 leaves
Fennel Seeds - 1 tsp
Fresh Ginger - 1/2 tsp grated
Coriander seeds - 1/2 tsp
Water - 300 ml RO purified",,"Chamomile Tea - 2'g
Mint leaf - 4
Fennel seeds - 1'tsp
Ginger - 0.5'tsp
Coriander seeds - 0.5'tsp
",1,1 Cup,5.04,1.3,1.25,1.49,36.51,1.00,36.5,"chamomile tea → direct: 2g | chamomile tea → Carbs: 0, Protein: 0, Fat: 0, Fiber: 0, Energy: 0.02 | mint leaf → 4 × 1g = 4g | mint leaf → Carbs: 0.6, Protein: 0.15, Fat: 0.04, Fiber: 0.24, Energy: 3.32 | fennel seeds → 1'tsp = 5g | fennel seeds → Carbs: 2.62, Protein: 0.79, Fat: 0.75, Fiber: 0, Energy: 20.31 | ginger → 0.5'tsp = 2.5g | ginger → Carbs: 0.45, Protein: 0.05, Fat: 0.02, Fiber: 0.13, Energy: 2.13 | coriander seeds → 0.5'tsp = 2.5g | coriander seeds → Carbs: 1.38, Protein: 0.31, Fat: 0.45, Fiber: 1.12, Energy: 10.74",,0,Easy,Low,,Morning Water,NO,Fennel Seeds,,,,Vegan,"Gluten free, Lactose free, Nuts Free, Mushroom free",,Both,,Both,General,All Season,,1,,"Chamomile Tea
Mint leaf
Fennel seeds
Ginger
Coriander seeds","2'g
4
1'tsp
0.5'tsp
0.5'tsp",,glass,250ml,2.02,0.52,0.50,0.60,14.60
018c7278-b7f5-4c4f-aac1-4755379ad6f6,Biotin Laddu,"{""Pumpkin Seeds - 1/4 cup"",""Peanuts - 1 cup"",""Coconut - 1 cup"",""Almond - 1/4 cup"",""Sunflower Seeds - 1/4 cup"",""Flax Seeds - 1/4 cup"",""Dates - 8""}","Pumpkin Seeds - 1/4 cup
Peanuts - 1 cup
Coconut - 1 cup
Almond - 1/4 cup
Sunflower Seeds - 1/4 cup
Flax Seeds - 1/4 cup
Dates - 8",,"Pumpkin seeds - 32'g
Peanuts - 140'g
Coconut - 80'g
Almond - 35'g
Sunflower seeds - 35'g
Flax seeds - 35'g
Dates - 8",10,1 laddu,123.6,74.21,186.74,45.06,2472,2.00,247.2,"pumpkin seeds → direct: 32g | pumpkin seeds → Carbs: 3.42, Protein: 9.66, Fat: 15.71, Fiber: 0, Energy: 193.66 | peanuts → direct: 140g | peanuts → Carbs: 22.54, Protein: 36.12, Fat: 68.88, Fiber: 14.52, Energy: 855.26 | coconut → direct: 80g | coconut → Carbs: 18.96, Protein: 5.52, Fat: 51.6, Fiber: 8.34, Energy: 562.32 | almond → direct: 35g | almond → Carbs: 7.56, Protein: 7.42, Fat: 17.47, Fiber: 4.57, Energy: 217.07 | sunflower seeds → direct: 35g | sunflower seeds → Carbs: 7, Protein: 7.28, Fat: 18.02, Fiber: 3.78, Energy: 219.21 | flax seeds → direct: 35g | flax seeds → Carbs: 10.12, Protein: 6.41, Fat: 14.77, Fiber: 9.16, Energy: 198.84 | dates → 8 × 9g = 72g | dates → Carbs: 54, Protein: 1.8, Fat: 0.29, Fiber: 4.69, Energy: 225.65",,0,Hard,High,,Dessert,Dessert,Peanuts,,,,Vegan,"Gluten free, Lactose free, Mushroom free",,Both,,Both,General,All Season,,1,,"Pumpkin seeds
Peanuts
Coconut
Almond
Sunflower seeds
Flax seeds
Dates","32'g
140'g
80'g
35'g
35'g
35'g
8",,Numbers,52 gm,23.77,14.27,35.91,8.67,475.38
019c156d-a552-412f-ab6a-1463e6814755,Alkaline Water,"{""Water - 1 L"",""Lemon (Green Whole Sliced) - 1"",""Cucumber (Sliced) - 1"",""Mint Leaf - 10"",""Salt - a pinch (or as per taste)""}","Water - 1 L
Lemon (Green Whole Sliced) - 1
Cucumber (Sliced) - 1
Mint Leaf - 10
Salt - a pinch (or as per taste)",,"Cucumber - 1
Lemon - 1",4,1 cup,7.16,1.36,0.48,7.09,37.28,1.00,9.3,"cucumber → 1 × 200g = 200g | cucumber → Carbs: 4.4, Protein: 1.2, Fat: 0.4, Fiber: 4.3, Energy: 24.8 | lemon → 1 × 40g = 40g | lemon → Carbs: 2.76, Protein: 0.16, Fat: 0.08, Fiber: 2.79, Energy: 12.48",,0,Easy,Low,,Morning Water,NO,,,,,Vegan,"Gluten free, Lactose free, Nuts Free, Mushroom free",,Both,,Both,General,All Season,,1,,"Cucumber
Lemon","1
1",,glass,250ml,0.72,0.14,0.05,0.71,3.73
01db66fd-398d-4b18-a842-973e12d9b420,Coffee Chia Smoothie,"{""Brewed Coffee - 1 tsp"",""Banana - 1 medium-sized"",""Chia Seeds - 2 tsp"",""Curd or Unflavoured Yogurt - 1/2 cup""}","Brewed Coffee - 1 tsp
Banana - 1 medium-sized
Chia Seeds - 2 tsp
Curd or Unflavoured Yogurt - 1/2 cup",,"Coffee - 1'tsp
Banana - 1
Chia seeds - 2'tsp
Curd - 0.5'cup",1,1 glass,40.76,7.93,7.57,2.61,263.47,1.00,263.5,"coffee → 1'tsp = 5g | coffee → Carbs: 3.77, Protein: 0.61, Fat: 0.03, Fiber: 0, Energy: 17.75 | banana → 1 × 118g = 118g | banana → Carbs: 26.9, Protein: 1.3, Fat: 0.35, Fiber: 2.61, Energy: 116.47 | chia seeds → 2'tsp = 10g | chia seeds → Carbs: 4.21, Protein: 1.65, Fat: 3.07, Fiber: 0, Energy: 51.13 | curd → 0.5'cup = 125g | curd → Carbs: 5.88, Protein: 4.38, Fat: 4.13, Fiber: 0, Energy: 78.13",,0,Easy,Low,,Smoothie,Shake/smoothie,Chia Seeds,,,,Vegan,"Gluten free, Lactose free, Mushroom free",,Both,,Metro,General,Summer,,1,,"Coffee
Banana
Chia seeds
Curd","1'tsp
1
2'tsp
0.5'cup",,Cup,250gm,16.30,3.17,3.03,1.04,105.39
02131841-b13f-42d9-a00c-fbe4cea3424d,Dahi Tadka,"{""Onion - 0.5 cup"",""Curd - 1 cup"",""Mustard Seeds - 1 tsp"",""Curry Leaf - 6"",""Red Chilli - 2"",""Garam Masala - 1 tsp"",""Salt - 1 tsp"",""Turmeric Powder - 1 tsp"",""Ghee - 1 tsp""}","Onion - 0.5 cup
Curd - 1 cup
Mustard Seeds - 1 tsp
Curry Leaf - 6
Red Chilli - 2
Garam Masala - 1 tsp
Salt - 1 tsp
Turmeric Powder - 1 tsp
Ghee - 1 tsp",,"Onion - 60'g
Curd - 1'cup
Ghee - 1'tsp",2,1 Katori (100-120 gm),15.65,9.41,13.31,1.47,220.03,1.50,110.0,"onion → direct: 60g | onion → Carbs: 3.9, Protein: 0.66, Fat: 0.06, Fiber: 1.47, Energy: 18.78 | curd → 1'cup = 250g | curd → Carbs: 11.75, Protein: 8.75, Fat: 8.25, Fiber: 0, Energy: 156.25 | ghee → 1'tsp = 5g | ghee → Carbs: 0, Protein: 0, Fat: 5, Fiber: 0, Energy: 45",,0,Easy,Medium,,Raita,curd based,Curd,,,,Vegetarian,"Gluten free, Nuts Free, Mushroom free",,Both,,Both,North Indian,All Season,,0,,"Onion
Curd
Ghee","60'g
1'cup
1'tsp",,Katori,150ml,5.22,3.14,4.44,0.49,73.34
0234ef6f-0273-4c3e-969e-70d6c98f7dda,Fansi Veg,"{""Ingredients for Dal:"",""Chana Dal (Split Bengal Gram) - 1 cup (soaked for 1-2 hours)"",""Turmeric Powder - 1/4 tsp"",""Green Chillies - 2 (finely chopped)"",""Ginger - 1 inch (grated)"",""Cumin Seeds - 1/2 tsp"",""Mustard Seeds - 1/2 tsp"",""Asafoetida (Hing) - a pinch"",""Red Chilli Powder - 1/2 tsp"",""Coriander Powder - 1 tsp"",""Garam Masala - 1/2 tsp"",""Oil or Ghee - 1 tbsp"",""Salt - to taste"",""Water - 2 cups"",""Fresh Coriander - 2 tbsp (chopped, for garnish)"",""Lemon Juice - 1 tbsp"",""Ingredients for Khakra (Store-bought or homemade):"",""Whole Wheat Flour (Atta) - 1 cup"",""Oil - 1 tsp"",""Salt - to taste"",""Water - as needed to knead the dough""}","Ingredients for Dal:
Chana Dal (Split Bengal Gram) - 1 cup (soaked for 1-2 hours)
Turmeric Powder - 1/4 tsp
Green Chillies - 2 (finely chopped)
Ginger - 1 inch (grated)
Cumin Seeds - 1/2 tsp
Mustard Seeds - 1/2 tsp
Asafoetida (Hing) - a pinch
Red Chilli Powder - 1/2 tsp
Coriander Powder - 1 tsp
Garam Masala - 1/2 tsp
Oil or Ghee - 1 tbsp
Salt - to taste
Water - 2 cups
Fresh Coriander - 2 tbsp (chopped
 for garnish)
Lemon Juice - 1 tbsp
Ingredients for Khakra (Store-bought or homemade):
Whole Wheat Flour (Atta) - 1 cup
Oil - 1 tsp
Salt - to taste
Water - as needed to knead the dough",,"Chana Dal - 1'cup
Ghee - 1'tbsp
Whole Wheat Flour - 1'cup
Oil - 1'tsp",-,-,237.5,50.5,32.5,66.28,1444.25,2.00,#VALUE!,"chana dal → 1'cup = 250g | chana dal → Carbs: 57.5, Protein: 17.5, Fat: 6.25, Fiber: 37.88, Energy: 356.25 | ghee → 1'tbsp = 15g | ghee → Carbs: 0, Protein: 0, Fat: 15, Fiber: 0, Energy: 135 | whole wheat flour → 1'cup = 250g | whole wheat flour → Carbs: 180, Protein: 33, Fat: 6.25, Fiber: 28.4, Energy: 908 | oil → 1'tsp = 5g | oil → Carbs: 0, Protein: 0, Fat: 5, Fiber: 0, Energy: 45",,,,,,Sabzi,,,,,,,,,,,,,,,,,"Chana Dal
Ghee
Whole Wheat Flour
Oil","1'cup
1'tbsp
1'cup
1'tsp",-,Katori,150gm,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
023ed8dd-38ca-4594-ad96-0b32008d230a,Masala Bajra,Bajra Murmura - 60'g,"1 tsp red chili powder
1 tsp coriander powder
1 tsp cumin powder
1/2 tsp turmeric powder
1 tsp mango powder (amchur)
1 tsp salt
1/3 tsp asafoetida (hing)
2 cups Bajra Murmura
Oil spray",,Bajra Murmura - 30'g,1.5,1 cup,25.97,2.5,0.6,1,113.89,2.00,75.9,"bajra murmura → direct: 30g | bajra murmura → Carbs: 25.97, Protein: 2.5, Fat: 0.6, Fiber: 1, Energy: 113.89",,,,,,Chaat,,,,,,,,,,,,,,,,,Bajra Murmura,30'g,,Cup,150gm,11.54,1.11,0.27,0.44,50.62
02aadfe0-a62c-45a9-a3a7-e94d32d40bb5,Jeera Dhania Water,"{""Cumin Seeds (Jeera) - 1/2 tsp"",""Coriander seeds (Dhania) - 1 tbsp (10 grams)"",""Water - 900 ml RO purified""}","Cumin Seeds (Jeera) - 1/2 tsp
Coriander seeds (Dhania) - 1 tbsp (10 grams)
Water - 900 ml RO purified",,"Cumin seeds - 0.5'tsp
Coriander seeds - 1'tbsp",3,1 Cup,9.36,2.31,3.23,7.48,75.63,1.00,25.2,"cumin seeds → 0.5'tsp = 2.5g | cumin seeds → Carbs: 1.11, Protein: 0.45, Fat: 0.56, Fiber: 0.76, Energy: 11.22 | coriander seeds → 1'tbsp = 15g | coriander seeds → Carbs: 8.25, Protein: 1.86, Fat: 2.67, Fiber: 6.72, Energy: 64.41",,0,Easy,Low,,Morning Water,NO,Cumin Seeds,,,,Vegan,"Gluten free, Lactose free, Nuts Free, Mushroom free",,Both,,Both,General,All Season,,0,,"Cumin seeds
Coriander seeds","0.5'tsp
1'tbsp",,glass,250ml,1.25,0.31,0.43,1.00,10.08
